college,state,students,privateorpublic,acceptance_rate,city,address,zip,urbanicity,website,school_type,graduation_rate,GPA,Division,tuition,fields_of_study_json,student_faculty_ratio,race_ethnicity_json,sat_score,act_score
Universal Technical Institute of Arizona Inc,アリゾナ州(AZ),1972,営利,,Avondale,10695 West Pierce Street,85323,郊外,www.uti.edu/,4年制,0.5356,N/A,N/A,N/A,N/A,,,,
Yavapai College,アリゾナ州(AZ),3577,州立,,Prescott,1100 E Sheldon St,86301,都市部,https://www.yc.edu/,2年制,0.3619,N/A,N/A,N/A,N/A,,,,
University of Arkansas at Little Rock,アーカンソー州(AR),4802,州立,0.6146,Little Rock,2801 S University Ave,72204,都市部,ualr.edu/www/,N/A,0.4087,N/A,N/A,N/A,N/A,,,,
University of Arkansas for Medical Sciences,アーカンソー州(AR),1287,州立,,Little Rock,4301 W Markham,72205-7199,都市部,https://www.uams.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Arkansas Baptist College,アーカンソー州(AR),497,私立,,Little Rock,1600 Dr. Martin Luther King Jr. Drive,72202-6068,都市部,https://www.arkansasbaptist.edu/,N/A,0.0879,N/A,N/A,N/A,N/A,,,,
Arkansas Beauty School-Little Rock,アーカンソー州(AR),98,営利,,Little Rock,8521 Geyer Springs Road Unit 30,72209,都市部,arbs.edu/,2年制,,N/A,N/A,N/A,N/A,,,,
Arkansas Beauty College,アーカンソー州(AR),29,営利,,Russellville,109 N Commerce St,72801,町,https://www.arkansasbeautycollege.us/,2年制,0.5883,N/A,N/A,N/A,N/A,,,,
Lyon College,アーカンソー州(AR),489,私立,0.5984,Batesville,2300 Highland Road,72501,町,www.lyon.edu/,N/A,0.4203,N/A,N/A,N/A,N/A,,,,
Arkansas Technical School,アーカンソー州(AR),60,営利,,North Little Rock,200 E Washington Ave,72114,都市部,www.arktech.edu/,2年制,,N/A,N/A,N/A,N/A,,,,
University of Arkansas,アーカンソー州(AR),26002,州立,0.7893,Fayetteville,"1125 W Maple St, Administration Bldg 425",72701,都市部,https://www.uark.edu/,N/A,0.6943,N/A,N/A,N/A,N/A,,,,
University of Arkansas at Pine Bluff,アーカンソー州(AR),2155,州立,0.6933,Pine Bluff,1200 N University Mail Slot 4789,71601,町,www.uapb.edu/,N/A,0.4096,N/A,N/A,N/A,N/A,,,,
Arkansas State University-Beebe,アーカンソー州(AR),1829,州立,,Beebe,1000 Iowa Street,72012-1000,町,www.asub.edu/,4年制,0.387,N/A,N/A,N/A,N/A,,,,
Arkansas State University,アーカンソー州(AR),7463,州立,0.6951,Jonesboro,"2105 East, Aggie Road",72401,都市部,www.astate.edu/,N/A,0.5331,N/A,N/A,N/A,N/A,,,,
Arkansas Tech University,アーカンソー州(AR),6108,州立,0.9439,Russellville,"Administration Bldg 200, 1509 N Boulder Ave",72801-2222,町,https://www.atu.edu/,4年制,0.4728,N/A,N/A,N/A,N/A,,,,
University of Arkansas at Monticello,アーカンソー州(AR),1819,州立,,Monticello,Highway 425 South,71656,町,www.uamont.edu/,2年制,0.3577,N/A,N/A,N/A,N/A,,,,
Arthur's Beauty College,アーカンソー州(AR),37,営利,,Jacksonville,2600 John Harden Drive,72076,郊外,arthursbeautycollege.com/,2年制,0.3409,N/A,N/A,N/A,N/A,,,,
Baptist Health College Little Rock,アーカンソー州(AR),549,私立,0.8571,Little Rock,11900 COLONEL GLENN RD STE 1000,72210-2827,都市部,https://www.bhclr.edu/,4年制,,N/A,N/A,N/A,N/A,,,,
Black River Technical College,アーカンソー州(AR),1003,州立,,Pocahontas,1410 Hwy 304 East,72455,町,www.blackrivertech.edu/,2年制,0.3245,N/A,N/A,N/A,N/A,,,,
University of Central Arkansas,アーカンソー州(AR),7563,州立,0.9121,Conway,201 Donaghey Ave,72035-0001,都市部,www.uca.edu/,N/A,0.4973,N/A,N/A,N/A,N/A,,,,
Central Baptist College,アーカンソー州(AR),489,私立,0.6394,Conway,1501 College Avenue,72034,都市部,www.cbc.edu/,N/A,0.3906,N/A,N/A,N/A,N/A,,,,
Cossatot Community College of the University of Arkansas,アーカンソー州(AR),833,州立,,De Queen,183 College Drive,71832,町,www.cccua.edu/,2年制,0.4588,N/A,N/A,N/A,N/A,,,,
Crowley's Ridge College,アーカンソー州(AR),171,私立,,Paragould,100 College Dr,72450,田舎,www.crc.edu/,N/A,0.2794,N/A,N/A,N/A,N/A,,,,
East Arkansas Community College,アーカンソー州(AR),519,州立,,Forrest City,1700 Newcastle Rd,72335-2204,町,https://www.eacc.edu/,2年制,0.4073,N/A,N/A,N/A,N/A,,,,
Paul Mitchell the School-Little Rock,アーカンソー州(AR),358,営利,,North Little Rock,4201 E McCain Blvd,72117,都市部,paulmitchell.edu/littlerock,2年制,0.5789,N/A,N/A,N/A,N/A,,,,
National Park College,アーカンソー州(AR),1809,州立,,Hot Springs,101 College Dr,71913,郊外,www.np.edu/,2年制,0.2582,N/A,N/A,N/A,N/A,,,,
University of Arkansas Community College-Batesville,アーカンソー州(AR),694,州立,,Batesville,2005 White Drive,72503-3350,町,www.uaccb.edu/,2年制,0.5873,N/A,N/A,N/A,N/A,,,,
Harding University,アーカンソー州(AR),3198,私立,0.4512,Searcy,915 E. Market Ave.,72149-5615,町,www.harding.edu/,N/A,0.6833,N/A,N/A,N/A,N/A,,,,
Henderson State University,アーカンソー州(AR),1800,州立,0.7066,Arkadelphia,1100 Henderson Street,71999-0001,町,https://www.hsu.edu/,N/A,0.382,N/A,N/A,N/A,N/A,,,,
Hendrix College,アーカンソー州(AR),1127,私立,0.6028,Conway,1600 Washington Ave,72032-3080,都市部,https://www.hendrix.edu/,N/A,0.7085,N/A,N/A,N/A,N/A,,,,
Hot Springs Beauty College,アーカンソー州(AR),90,営利,,Hot Springs,100 Cones Rd,71901,都市部,hotspringsbeautycollege.com/,2年制,0.72,N/A,N/A,N/A,N/A,,,,
Jefferson Regional School of Nursing,アーカンソー州(AR),69,私立,,Pine Bluff,1600 West 40th Avenue,71603,町,www.jrmc.org/,4年制,,N/A,N/A,N/A,N/A,,,,
John Brown University,アーカンソー州(AR),1354,私立,0.5664,Siloam Springs,2000 W University St,72761,町,https://www.jbu.edu/,N/A,0.7078,N/A,N/A,N/A,N/A,,,,
Career Academy of Hair Design,アーカンソー州(AR),230,営利,,Springdale,346 E. Robinson Ave,72764-7128,都市部,www.beautynwa.com/,2年制,0.6007,N/A,N/A,N/A,N/A,,,,
Academy of Salon and Spa,アーカンソー州(AR),67,営利,,Fort Smith,311 S 16th St,72901,都市部,www.academysalonspa.com/,2年制,0.5098,N/A,N/A,N/A,N/A,,,,
Arkansas State University Mid-South,アーカンソー州(AR),455,州立,,West Memphis,2000 W.  Broadway,72301-3829,郊外,www.asumidsouth.edu/,2年制,0.3744,N/A,N/A,N/A,N/A,,,,
Arkansas Northeastern College,アーカンソー州(AR),748,州立,,Blytheville,2501 S Division,72316-1109,町,www.anc.edu/,2年制,0.3691,N/A,N/A,N/A,N/A,,,,
New Tyler Barber College Inc,アーカンソー州(AR),28,営利,,North Little Rock,1221 E 7th St,72114-4973,都市部,newtylerbarbercollege.edu/,2年制,0.6909,N/A,N/A,N/A,N/A,,,,
North Arkansas College,アーカンソー州(AR),1121,州立,,Harrison,1515 Pioneer Drive,72601-5508,町,www.northark.edu/,2年制,0.3007,N/A,N/A,N/A,N/A,,,,
Northwest Technical Institute,アーカンソー州(AR),201,州立,,Springdale,709 S Old Missouri Rd,72764,都市部,www.nwti.edu/,2年制,0.6692,N/A,N/A,N/A,N/A,,,,
Ouachita Baptist University,アーカンソー州(AR),1587,私立,0.7232,Arkadelphia,410 Ouachita St,71998-0001,町,obu.edu/,N/A,0.6592,N/A,N/A,N/A,N/A,,,,
Arkansas State University Three Rivers,アーカンソー州(AR),446,州立,,Malvern,One College Circle,72104-0816,町,www.asutr.edu/,2年制,0.331,N/A,N/A,N/A,N/A,,,,
Ozarka College,アーカンソー州(AR),614,州立,,Melbourne,218 College Dr,72556-0010,田舎,https://www.ozarka.edu/,2年制,0.4195,N/A,N/A,N/A,N/A,,,,
University of the Ozarks,アーカンソー州(AR),767,私立,0.6008,Clarksville,415 N College Ave,72830,町,https://ozarks.edu/,N/A,0.4509,N/A,N/A,N/A,N/A,,,,
